Code,Centre,L100,L200,L300,L400,L500,L700,L800,L900,Total
AB01,Umudike Study Centre,157,222,266,3857,1742,707,982,2,7935
AB02,Umuahia Correctional Service Study Centre,0,3,0,17,0,1,0,0,21
AB03,Asaga Community Study Centre,19,16,16,115,7,26,39,0,238
AD01,Yola Study Centre,173,266,239,1400,342,353,685,1,3459
AD02,Gulak Community Study Centre,26,41,46,277,58,57,151,0,656
AK01,Uyo Study Centre,472,584,685,5923,1272,1084,1370,1,11391
AN01,Awka Study Centre,242,374,404,12171,2787,892,1548,0,18418
AN02,Nigeria Correctional Service Special Study Centre Awka,4,5,1,6,0,2,2,0,20
AN03,Isulo Community Study Centre,14,29,32,260,71,64,109,0,579
BA01,Azare Community Study Centre,45,151,147,479,60,145,375,0,1402
BA02,Bauchi Study Centre,101,172,196,2300,548,334,758,2,4411
BA03,Bogoro Community Study Centre,23,59,40,314,110,27,104,0,677
BN01,Makurdi Study Centre,273,430,493,6128,854,454,838,3,9473
BN02,Otukpo Study Centre,44,68,81,1024,182,183,253,0,1835
BN03,Ugbokolo Study Centre,7,16,15,80,9,21,41,0,189
BO01,Maiduguri Study Centre,123,218,317,1251,665,332,1010,2,3918
BY01,Yenagoa Study Centre,260,308,320,3692,961,805,943,1,7290
CR01,Calabar Study Centre,268,283,256,4290,1097,771,980,2,7947
CR02,Ikom Community Study Centre,69,141,151,630,78,229,399,0,1697
DE01,Asaba Study Centre,367,376,436,9290,1466,1266,1716,2,14919
DE02,Emevor Community Study Centre,93,131,186,1441,334,357,513,0,3055
DE03,Owhrode Community Study Centre,175,245,277,926,152,244,350,0,2369
DE04,Sapele Community Study Centre,69,71,25,37,13,20,35,0,270
DE05,Onicha-Ugbo Study Centre,4,2,0,0,0,2,4,0,12
DE06,Patani Community Study Centre,7,3,3,6,3,3,9,0,34
EB01,Abakaliki Study Centre,155,160,213,1271,308,329,510,1,2947
ED01,Benin Study Centre,628,689,627,25197,4291,1615,2295,3,35345
ED02,Fugar Community Study Centre,36,69,57,274,37,142,102,0,717
ED03,Uromi Community Study Centre,35,85,103,221,289,113,127,1,974
EK01,Ado-Ekiti Study Centre,181,230,188,4925,1224,472,731,1,7952
EN01,Awgu Community Study Centre,12,16,12,276,88,62,139,1,606
EN02,Enugu Study Centre,238,306,340,10439,3371,1503,1846,2,18045
EN03,Nigerian Correctional Service Special Study Centre Enugu,24,29,34,171,8,1,11,0,278
EN04,Opi Community Study Centre Nsuka,21,34,50,85,20,26,27,0,263
FC01,Abuja Model Study Centre,2356,2559,2153,27447,3471,5939,9917,44,53886
FC03,National Union Of Road Transport Workers Special Study Centre Garki Abuja,747,861,817,6228,427,1596,2361,23,13060
FC04,Nigeria Immigration Service Special Study Centre Abuja,194,300,243,2667,513,642,1079,3,5641
FC05,Nigeria Police Special Study Centre Kubwa Abuja,198,247,243,1718,151,264,460,1,3282
FC06,Nigeria Security And Civil Defence Special Study Centre Sauka Abuja,544,572,502,1992,110,533,816,3,5072
FC07,Special Study Centre Nigerian Correctional Service National Headquarters Abuja,124,127,109,386,24,118,208,1,1097
FC08,Viite Special Study Centre Abuja,0,0,12,74,10,13,20,0,129
FC09,Wuse II Study Centre Abuja,2600,2515,1962,8228,405,2636,4098,20,22464
FC11,Kuje Correctional Service Study Centre,31,52,34,59,1,3,5,2,187
GM01,Gombe Study Centre,102,214,190,1150,289,260,485,3,2693
IM01,Owerri Study Centre,217,289,349,5779,2355,1145,1613,4,11751
JG01,Dutse Study Centre,64,139,188,1140,340,188,316,1,2376
JG02,Hadejia Study Centre,28,108,68,34,5,5,39,0,287
KB01,Kebbi Study Centre,70,159,207,684,209,109,378,1,1817
KD01,Kaduna Study Centre,573,749,691,8445,1555,1235,1846,3,15097
KD02,Kagoro Study Centre,49,97,112,223,57,49,91,0,678
KD03,Nigerian Air Force Special Study Centre Kaduna,154,244,265,640,87,167,300,0,1857
KD04,Kaduna Correctional Service Study Centre,14,7,13,34,1,7,4,0,80
KG01,Idah Community Study Centre,20,23,30,228,18,51,80,2,452
KG02,Iyara Community Study Centre,28,39,42,425,76,75,141,1,827
KG03,Lokoja Study Centre,150,186,228,2961,628,663,984,2,5802
